Date,BLK Equity,SPXT Index,H15T1Y Index
12/14/1999,17.125,1929.68,5.81
12/15/1999,17.125,1943.71,5.85
12/16/1999,16.813,1951.31,5.9
12/17/1999,17.125,1954.44,5.93
12/20/1999,16.938,1950.44,5.99
12/21/1999,17,1971.56,5.97
12/22/1999,17.188,1975.5,5.97
12/23/1999,17.125,2006.07,5.96
12/27/1999,17.125,2004.37,5.97
12/28/1999,17.375,2005.14,5.96
12/29/1999,17.25,2013.38,5.93
12/30/1999,17.313,2014.81,5.93
12/31/1999,17.188,2021.4,5.98
1/3/2000,16.625,2002.11,6.09
1/4/2000,15.875,1925.41,6
1/5/2000,15.75,1929.28,6.05
1/6/2000,16,1931.51,6.03
1/7/2000,15.875,1983.83,6
1/10/2000,16,2006.07,6.07
1/11/2000,16.438,1979.92,6.13
1/12/2000,17.125,1971.36,6.16
1/13/2000,16.938,1995.35,6.1
1/14/2000,17.5,2016.64,6.13
1/18/2000,18,2002.88,6.15
1/19/2000,18.25,2004.02,6.12
1/20/2000,17.5,1989.81,6.13
1/21/2000,17.375,1984.01,6.12
1/24/2000,17.125,1929.2,6.13
1/25/2000,17.25,1940.9,6.13
1/26/2000,17.438,1932.78,6.15
1/27/2000,17.5,1925.31,6.19
1/28/2000,17.375,1872.61,6.25
1/31/2000,17.5,1919.84,6.3
2/1/2000,17.75,1940.24,6.3
2/2/2000,17.938,1940.21,6.24
2/3/2000,18,1962.21,6.16
2/4/2000,18.438,1961.44,6.19
2/7/2000,18.5,1961.3,6.23
2/8/2000,18.563,1985.49,6.22
2/9/2000,18.375,1944.57,6.2
2/10/2000,17.875,1951.65,6.2
2/11/2000,17.938,1910.92,6.17
2/14/2000,18,1914.88,6.19
2/15/2000,17.875,1931.58,6.2
2/16/2000,18.5,1912.12,6.22
2/17/2000,18.375,1912.96,6.28
2/18/2000,18.5,1854.85,6.26
2/22/2000,18.563,1863.26,6.22
2/23/2000,18.813,1875.16,6.27
2/24/2000,19,1865.2,6.22
2/25/2000,19.25,1837.7,6.18
2/28/2000,20.125,1858.17,6.21
2/29/2000,21.875,1883.5,6.2
3/1/2000,21.75,1901.51,6.17
3/2/2000,22.063,1905.09,6.19
3/3/2000,22.125,1942.89,6.15
3/6/2000,22.063,1918.44,6.2
3/7/2000,22,1869.33,6.17
3/8/2000,22,1884.81,6.17
3/9/2000,22,1933.11,6.15
3/10/2000,22.125,1923.98,6.21
3/13/2000,22.875,1908.42,6.21
3/14/2000,22.875,1874.69,6.2
3/15/2000,24.125,1920.28,6.21
3/16/2000,24.375,2012.03,6.2
3/17/2000,24.75,2020.31,6.2
3/20/2000,24,2009.53,6.23
3/21/2000,24,2060.9,6.22
3/22/2000,22.625,2070.27,6.21
3/23/2000,22.5,2107.13,6.23
3/24/2000,22.438,2107.28,6.31
3/27/2000,22.063,2102.31,6.32
3/28/2000,20,2080.08,6.31
3/29/2000,19.75,2081.45,6.31
3/30/2000,20.438,2053.05,6.26
3/31/2000,20.25,2067.76,6.28
4/3/2000,20.625,2077.97,6.23
4/4/2000,20.75,2062.53,6.14
4/5/2000,21.438,2052.52,6.15
4/6/2000,22.375,2072.15,6.17
4/7/2000,24.25,2092.87,6.17
4/10/2000,24,2076.46,6.14
4/11/2000,24.063,2071.22,6.16
4/12/2000,23.875,2025.23,6.17
4/13/2000,23.375,1988.43,6.16
4/14/2000,23,1872.55,6.08
4/17/2000,22.438,1934.5,6.09
4/18/2000,21.938,1990.04,6.07
4/19/2000,21,1970.58,6.08
4/20/2000,21.125,1980.36,6.12
4/24/2000,21.625,1973.91,6.11
4/25/2000,24,2039.6,6.18
4/26/2000,24.125,2017.04,6.19
4/27/2000,24.313,2022.68,6.21
4/28/2000,26,2005.55,6.24
5/1/2000,24,2027.4,6.24
5/2/2000,23.813,1997.09,6.23
5/3/2000,24.25,1954.23,6.23
5/4/2000,23.625,1946.65,6.2
5/5/2000,23.688,1978.52,6.29
5/8/2000,24,1967.01,6.38
5/9/2000,24.375,1950.5,6.37
5/10/2000,25.063,1910.79,6.36
5/11/2000,25.25,1945.38,6.37
5/12/2000,25.75,1963.59,6.44
5/15/2000,25.75,2007.03,6.44
5/16/2000,26.25,2025.96,6.43
5/17/2000,26.375,2000.94,6.42
5/18/2000,26.188,1986.4,6.39
5/19/2000,26.125,1944.65,6.32
5/22/2000,25.813,1936.04,6.29
5/23/2000,23.75,1898.94,6.3
5/24/2000,23.25,1933.85,6.29
5/25/2000,23.375,1909.67,6.27
5/26/2000,23.25,1904.98,6.27
5/30/2000,23.25,1966.59,6.28
5/31/2000,24.063,1964.4,6.37
6/1/2000,24.375,2003.45,6.32
6/2/2000,25.75,2042.79,6.23
6/5/2000,26.875,2029.5,6.22
6/6/2000,26.438,2015.98,6.24
6/7/2000,25.938,2034.91,6.23
6/8/2000,25.438,2021.56,6.22
6/9/2000,25.438,2015.03,6.23
6/12/2000,25.25,1999.92,6.2
6/13/2000,26,2032.58,6.17
6/14/2000,26.813,2034.19,6.13
6/15/2000,27.5,2045.52,6.13
6/16/2000,29,2026,6.09
6/19/2000,28.813,2055.83,6.11
6/20/2000,28.438,2041.94,6.12
6/21/2000,29.25,2046.35,6.16
6/22/2000,30.875,2009.13,6.16
6/23/2000,30.188,1994.33,6.19
6/26/2000,31,2013.46,6.16
6/27/2000,32.375,2006.88,6.16
6/28/2000,35,2013.08,6.14
6/29/2000,32.625,1995.89,6.11
6/30/2000,29,2012.83,6.08
7/3/2000,29.25,2033.58,6.07
7/5/2000,29.375,2001.71,6.06
7/6/2000,28.875,2016.41,6.1
7/7/2000,29.75,2047.19,6.07
7/10/2000,32,2042.65,6.09
7/11/2000,33.375,2049.99,6.09
7/12/2000,34.25,2066.79,6.1
7/13/2000,33.688,2070.86,6.07
7/14/2000,33.875,2090.44,6.12
7/17/2000,33.063,2091.14,6.14
7/18/2000,32.313,2067.97,6.13
7/19/2000,32.125,2051.76,6.15
7/20/2000,32.563,2070.61,6.04
7/21/2000,33.813,2049.31,6.07
7/24/2000,34.063,2027.41,6.07
7/25/2000,33.75,2041.51,6.06
7/26/2000,34.063,2011.01,6.05
7/27/2000,34.063,2007.29,6.05
7/28/2000,34,1966.2,6.05
7/31/2000,33.75,1981.36,6.07
8/1/2000,33.625,1991.43,6.09
8/2/2000,33.563,1992.41,6.12
8/3/2000,33.625,2011.8,6.1
8/4/2000,33.75,2026.4,6.08
8/7/2000,32.375,2049.14,6.13
8/8/2000,32.875,2054.11,6.13
8/9/2000,33.875,2040.55,6.17
